Disease,Questions?,Yes_Probability,No_Probability
Allergy,"Are you experiencing sneezing, runny nose, or nasal congestion?",0.9,0.1
Allergy,"Do you have itchy, watery eyes?",0.85,0.15
Allergy,"Have you recently been exposed to any new pets, plants, or outdoor environments?",0.7,0.3
Allergy,"Do you have any known food allergies or intolerances?",0.5,0.5
Allergy,"Are you experiencing skin rashes or hives?",0.65,0.35
Fungal infection,"Have you noticed any red, itchy, or scaly patches on your skin?",0.75,0.25
Fungal infection,"Do you have any nail abnormalities, such as thickening or discoloration?",0.7,0.3
Fungal infection,"Are you experiencing any hair loss or bald patches?",0.6,0.4
Fungal infection,"Have you been in humid or moist environments recently?",0.65,0.35
Fungal infection,"Have you been using any new skincare or haircare products?",0.5,0.5
GERD,"Are you experiencing frequent heartburn or acid reflux?",0.95,0.05
GERD,"Do you have difficulty swallowing or feel like food is stuck in your throat?",0.7,0.3
GERD,"Are you experiencing a chronic cough or sore throat?",0.6,0.4
GERD,"Do you often have a bitter or sour taste in your mouth?",0.8,0.2
GERD,"Have you noticed any worsening of symptoms after eating certain foods or lying down?",0.85,0.15
Chronic cholestasis,"Are you experiencing persistent itching, particularly at night?",0.75,0.25
Chronic cholestasis,"Have you noticed any yellowing of your skin or eyes (jaundice)?",0.7,0.3
Chronic cholestasis,"Are you experiencing dark urine or pale stools?",0.8,0.2
Chronic cholestasis,"Do you have any history of liver disease or gallbladder problems?",0.65,0.35
Chronic cholestasis,"Are you experiencing fatigue or unexplained weight loss?",0.6,0.4
Drug Reaction,"Have you recently started taking any new medications or supplements?",0.85,0.15
Drug Reaction,"Are you experiencing any skin rashes or hives?",0.8,0.2
Drug Reaction,"Do you have any swelling of the face, lips, or tongue?",0.7,0.3
Drug Reaction,"Are you experiencing difficulty breathing or wheezing?",0.6,0.4
Drug Reaction,"Have you noticed any changes in your urine or stool color?",0.5,0.5
Peptic ulcer disease,"Are you experiencing burning stomach pain that improves with eating?",0.7,0.3
Peptic ulcer disease,"Do you have nausea or vomiting, especially in the morning?",0.6,0.4
Peptic ulcer disease,"Have you noticed any blood in your vomit or stools?",0.75,0.25
Peptic ulcer disease,"Are you experiencing unexplained weight loss?",0.5,0.5
Peptic ulcer disease,"Do you have a history of frequent use of NSAIDs (e.g., ibuprofen, aspirin)?",0.8,0.2
AIDS,"Are you experiencing persistent fever, night sweats, or swollen lymph nodes?",0.85,0.15
AIDS,"Do you have unexplained weight loss or chronic diarrhea?",0.8,0.2
AIDS,"Are you experiencing recurrent infections or unusual illnesses?",0.9,0.1
AIDS,"Have you had any recent exposure to high-risk activities (e.g., unprotected sex, shared needles)?",0.75,0.25
AIDS,"Do you have a history of HIV/AIDS testing?",0.65,0.35
